pos_mean,neg_mean
23.703125,20.484375
23.625,20.453125
23.21875,20.1875
23.640625,20.53125
23.921875,20.734375
23.875,20.609375
24.0,20.78125
23.953125,20.671875
23.625,20.515625
23.84375,20.6875
23.5,20.234375
23.8125,20.4375
23.46875,20.390625
23.671875,20.453125
23.484375,20.265625
23.5625,20.359375
23.96875,20.5
23.875,20.53125
23.4375,20.359375
23.28125,20.171875
23.5625,20.265625
23.59375,20.515625
23.3125,20.15625
23.59375,20.53125
23.109375,20.1875
23.734375,20.453125
23.859375,20.65625
23.53125,20.390625
23.625,20.40625
23.40625,20.125
24.078125,20.875
23.921875,20.59375
23.640625,20.46875
23.625,20.375
23.796875,20.5625
23.84375,20.59375
23.5625,20.375
23.625,20.40625
23.53125,20.34375
23.71875,20.609375
23.65625,20.390625
23.78125,20.484375
23.765625,20.53125
23.671875,20.453125
23.8125,20.5
23.546875,20.34375
23.5,20.28125
23.453125,20.4375
23.828125,20.71875
23.515625,20.390625
23.328125,20.140625
23.578125,20.515625
23.515625,20.4375
23.65625,20.5
23.703125,20.546875
23.375,20.296875
23.625,20.46875
23.484375,20.3125
23.890625,20.703125
23.9375,20.8125
23.53125,20.375
23.703125,20.421875
23.578125,20.421875
23.546875,20.40625
23.65625,20.453125
23.46875,20.421875
23.6875,20.5625
23.40625,20.3125
23.75,20.515625
23.828125,20.53125
23.453125,20.328125
23.828125,20.46875
23.546875,20.328125
23.8125,20.5625
23.578125,20.390625
23.75,20.59375
23.65625,20.46875
23.390625,20.421875
23.71875,20.640625
23.890625,20.59375
23.40625,20.40625
23.28125,20.171875
23.859375,20.640625
24.046875,20.703125
23.53125,20.421875
23.765625,20.515625
23.578125,20.40625
23.421875,20.296875
23.703125,20.5
23.5625,20.34375
23.53125,20.375
23.5625,20.46875
23.90625,20.59375
23.90625,20.734375
23.6875,20.484375
23.53125,20.328125
23.609375,20.4375
23.640625,20.484375
23.78125,20.5625
23.78125,20.515625
23.46875,20.328125
23.796875,20.53125
23.828125,20.609375
23.703125,20.546875
23.578125,20.421875
23.609375,20.46875
23.875,20.6875
23.6875,20.484375
23.71875,20.53125
23.5,20.34375
23.734375,20.640625
23.578125,20.453125
23.578125,20.375
23.65625,20.546875
23.875,20.59375
23.453125,20.421875
23.5625,20.34375
24.0625,20.71875
23.78125,20.609375
23.5,20.296875
23.671875,20.375
23.53125,20.328125
23.28125,20.234375
23.578125,20.421875
24.03125,20.734375
23.65625,20.421875
23.828125,20.53125
23.6875,20.546875
23.625,20.46875
23.53125,20.375
23.28125,20.203125
24.078125,20.8125
23.34375,20.265625
23.625,20.390625
23.96875,20.75
23.890625,20.6875
23.765625,20.484375
23.921875,20.59375
23.609375,20.453125
23.28125,20.234375
23.859375,20.609375
23.828125,20.5
23.28125,20.359375
23.71875,20.578125
23.765625,20.671875
24.09375,20.796875
23.921875,20.78125
23.875,20.71875
23.453125,20.265625
23.421875,20.296875
23.34375,20.171875
23.75,20.53125
23.640625,20.40625
23.515625,20.359375
23.3125,20.09375
23.546875,20.390625
23.453125,20.25
23.515625,20.3125
23.359375,20.296875
23.65625,20.3125
23.8125,20.515625
23.703125,20.40625
23.609375,20.578125
23.828125,20.546875
